"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		"phantom_lancer_plance_spawn_01" "幻影长矛手。"
		"phantom_lancer_plance_spawn_02" "为了家园。为了和平。"
		"phantom_lancer_plance_spawn_03" "我们只是卑微的仆人。"
		"phantom_lancer_plance_spawn_04" "我们只是在做应该做的事情。"
		"phantom_lancer_plance_spawn_05" "一人之军！"
		"phantom_lancer_plance_battlebegins_01" "我们同心协力，准备作战。"
		"phantom_lancer_plance_firstblood_01" "第一滴血。让我们伟大的战斗开始吧。"
		"phantom_lancer_plance_move_01" "好的。"
		"phantom_lancer_plance_move_02" "好的。"
		"phantom_lancer_plance_move_03" "我们会的。"
		"phantom_lancer_plance_move_04" "我们会的。"
		"phantom_lancer_plance_move_05" "听命。"
		"phantom_lancer_plance_move_06" "如您所需。"
		"phantom_lancer_plance_move_07" "走。"
		"phantom_lancer_plance_move_08" "快走。"
		"phantom_lancer_plance_move_09" "没问题！"
		"phantom_lancer_plance_move_10" "我们明白。"
		"phantom_lancer_plance_move_11" "我们冲。"
		"phantom_lancer_plance_move_12" "向前。"
		"phantom_lancer_plance_move_13" "毫不迟疑。"
		"phantom_lancer_plance_move_14" "我们明白。"
		"phantom_lancer_plance_move_15" "这很简单。"
		"phantom_lancer_plance_move_16" "好主意。"
		"phantom_lancer_plance_move_17" "那边。"
		"phantom_lancer_plance_move_18" "我们同意。"
		"phantom_lancer_plance_move_clone_01" "我们进军。"
		"phantom_lancer_plance_move_clone_02" "我们进军。"
		"phantom_lancer_plance_move_clone_03" "我们进军。"
		"phantom_lancer_plance_move_clone_04" "我们进军。"
		"phantom_lancer_plance_move_clone_05" "我们进军。"
		"phantom_lancer_plance_move_clone_06" "我们进军。"
		"phantom_lancer_plance_move_clone_07" "前进。"
		"phantom_lancer_plance_move_clone_08" "前进。"
		"phantom_lancer_plance_move_clone_09" "前进。"
		"phantom_lancer_plance_move_clone_10" "前进。"
		"phantom_lancer_plance_move_clone_11" "前进。"
		"phantom_lancer_plance_move_clone_12" "前进。"
		"phantom_lancer_plance_move_clone_13" "我们走。"
		"phantom_lancer_plance_move_clone_14" "我们走。"
		"phantom_lancer_plance_move_clone_15" "我们走。"
		"phantom_lancer_plance_move_clone_16" "我们走。"
		"phantom_lancer_plance_move_clone_17" "我们走。"
		"phantom_lancer_plance_move_clone_18" "我们走。"
		"phantom_lancer_plance_move_clone_19" "为了胜利。"
		"phantom_lancer_plance_move_clone_20" "为了胜利。"
		"phantom_lancer_plance_move_clone_21" "为了胜利。"
		"phantom_lancer_plance_move_clone_22" "为了胜利。"
		"phantom_lancer_plance_move_clone_23" "为了胜利。"
		"phantom_lancer_plance_move_clone_24" "为了胜利。"
		"phantom_lancer_plance_attack_01" "攻击。"
		"phantom_lancer_plance_attack_02" "攻击。"
		"phantom_lancer_plance_attack_03" "战争开始了。"
		"phantom_lancer_plance_attack_04" "当心我们。"
		"phantom_lancer_plance_attack_05" "我们去狩猎。"
		"phantom_lancer_plance_attack_06" "我们要进攻了！"
		"phantom_lancer_plance_attack_07" "他们逃不出我们的手掌。"
		"phantom_lancer_plance_attack_08" "就像叉鱼一样。"
		"phantom_lancer_plance_attack_09" "开始战斗。"
		"phantom_lancer_plance_attack_10" "没错。"
		"phantom_lancer_plance_attack_11" "我们会找到他们的。"
		"phantom_lancer_plance_attack_12" "我们的长矛会找到你的。"
		"phantom_lancer_plance_attack_13" "我们看到目标了！"
		"phantom_lancer_plance_attack_14" "我们的长矛已就位。"
		"phantom_lancer_plance_attack_15" "我们能干掉他们。"
		"phantom_lancer_plance_attack_clone_01" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_02" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_03" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_04" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_05" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_06" "蜂拥而上。"
		"phantom_lancer_plance_attack_clone_07" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_08" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_09" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_10" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_11" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_12" "蜂拥而来。"
		"phantom_lancer_plance_attack_clone_13" "人多力量大。"
		"phantom_lancer_plance_attack_clone_14" "人多力量大。"
		"phantom_lancer_plance_attack_clone_15" "人多力量大。"
		"phantom_lancer_plance_attack_clone_16" "人多力量大。"
		"phantom_lancer_plance_attack_clone_17" "人多力量大。"
		"phantom_lancer_plance_attack_clone_18" "人多力量大。"
		"phantom_lancer_plance_attack_clone_19" "冲锋。"
		"phantom_lancer_plance_attack_clone_20" "冲锋。"
		"phantom_lancer_plance_attack_clone_21" "冲锋。"
		"phantom_lancer_plance_attack_clone_22" "冲锋。"
		"phantom_lancer_plance_attack_clone_23" "冲锋。"
		"phantom_lancer_plance_attack_clone_24" "冲锋。"
		"phantom_lancer_plance_cast_01" "准备接招吧。"
		"phantom_lancer_plance_cast_02" "我们来消灭你。"
		"phantom_lancer_plance_cast_03" "我们的援军来了！"
		"phantom_lancer_plance_ability_spiritlance_01" "哈"
		"phantom_lancer_plance_ability_spiritlance_02" "啊"
		"phantom_lancer_plance_ability_spiritlance_03" "呀"
		"phantom_lancer_plance_ability_spiritlance_04" "哈"
		"phantom_lancer_plance_ability_spiritlance_05" "啊"
		"phantom_lancer_plance_ability_spiritlance_06" "耶"
		"phantom_lancer_plance_ability_spiritlance_07" "额"
		"phantom_lancer_plance_ability_spiritlance_08" "额"
		"phantom_lancer_plance_ability_doppelwalk_01" "你找不到我们。"
		"phantom_lancer_plance_ability_doppelwalk_02" "追这个！"
		"phantom_lancer_plance_ability_doppelwalk_03" "兄弟们，快跑！"
		"phantom_lancer_plance_ability_doppelwalk_04" "诱饵。"
		"phantom_lancer_plance_ability_doppelwalk_05" "诱饵。"
		"phantom_lancer_plance_ability_doppelwalk_06" "我们无处不在。"
		"phantom_lancer_plance_ability_juxtapose_01" "我们纷至沓来。"
		"phantom_lancer_plance_ability_juxtapose_02" "越来越多！"
		"phantom_lancer_plance_ability_juxtapose_03" "我们的人数在增加！"
		"phantom_lancer_plance_ability_juxtapose_04" "一人成长为军团。"
		"phantom_lancer_plance_ability_juxtapose_multi_01" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_02" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_03" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_04" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_05" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_06" "又一把长矛！"
		"phantom_lancer_plance_ability_juxtapose_multi_07" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_08" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_09" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_10" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_11" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_12" "更多。"
		"phantom_lancer_plance_ability_juxtapose_multi_13" "又一个。"
		"phantom_lancer_plance_ability_juxtapose_multi_14" "又一个。"
		"phantom_lancer_plance_ability_juxtapose_multi_15" "又一个。"
		"phantom_lancer_plance_ability_juxtapose_multi_16" "又一个。"
		"phantom_lancer_plance_ability_juxtapose_multi_17" "又一个。"
		"phantom_lancer_plance_ability_juxtapose_multi_18" "又一个。"
		"phantom_lancer_plance_ability_failure_01" "我们让彼此失望了。"
		"phantom_lancer_plance_ability_failure_02" "我们很悲伤。"
		"phantom_lancer_plance_ability_failure_03" "都是我们的错。"
		"phantom_lancer_plance_levelup_01" "我们感觉很兴奋。"
		"phantom_lancer_plance_levelup_02" "我们的人数增加了。"
		"phantom_lancer_plance_levelup_03" "我们一个一个来。"
		"phantom_lancer_plance_levelup_04" "阳光照耀着我们的长矛。"
		"phantom_lancer_plance_levelup_05" "我们无人能挡！"
		"phantom_lancer_plance_levelup_06" "我们要惩恶扬善。"
		"phantom_lancer_plance_levelup_07" "如此强大的力量。"
		"phantom_lancer_plance_levelup_08" "当心我们。"
		"phantom_lancer_plance_levelup_09" "我们的能力和意志都变强了！"
		"phantom_lancer_plance_kill_01" "一切都在意料之中。"
		"phantom_lancer_plance_kill_02" "我们送你去安息。"
		"phantom_lancer_plance_kill_03" "安息吧。"
		"phantom_lancer_plance_kill_04" "我们送你去另一个世界。"
		"phantom_lancer_plance_kill_05" "走，去干掉下一个。"
		"phantom_lancer_plance_kill_06" "我们要清理一下长矛了。"
		"phantom_lancer_plance_kill_07" "你的战斗已经结束了。"
		"phantom_lancer_plance_kill_08" "别跟我们作对。"
		"phantom_lancer_plance_kill_09" "我们有人数优势，你有什么？"
		"phantom_lancer_plance_kill_10" "我们人数比你多。我们人数比你们全队都多！"
		"phantom_lancer_plance_rival_01" "我们的数量完全碾压你们，你们放弃吧。"
		"phantom_lancer_plance_rival_02" "你一只小地鼠要如此强的力量做什么？"
		"phantom_lancer_plance_rival_03" "你应该再多分裂出几个自己。"
		"phantom_lancer_plance_rival_04" "你就躲在墙的另一边吧。"
		"phantom_lancer_plance_rival_05" "赏金猎人，你的赏金我们几个要怎么分呢？"
		"phantom_lancer_plance_rival_06" "狙击手，找不到目标了吧。"
		"phantom_lancer_plance_rival_07" "真是一条不错的鱼。"
		"phantom_lancer_plance_rival_08" "斯拉达，我们已经有足够的渔夫了。"
		"phantom_lancer_plance_rival_09" "你还是复制自己去吧。"
		"phantom_lancer_plance_rival_10" "食人魔法师，对你们种族，我们已经受够了。"
		"phantom_lancer_plance_rival_11" "爬回你的巢穴去吧。"
		"phantom_lancer_plance_ally_01" "混沌骑士，让我们展示一下什么叫做大军压境！"
		"phantom_lancer_plance_ally_02" "米波，你的...小铲子不错嘛。"
		"phantom_lancer_plance_ally_03" "酒仙，让我们为胜利干杯。"
		"phantom_lancer_plance_ally_04" "海妖，我们用数量把他们淹没。"
		"phantom_lancer_plance_ally_05" "你守护光明，我们保卫你。"
		"phantom_lancer_plance_ally_06" "水晶室女，他们会在我们面前颤抖的。"
		"phantom_lancer_plance_ally_07" "变体精灵，我们总是数量比别人多。"
		"phantom_lancer_plance_lasthit_01" "为了我们的目标。"
		"phantom_lancer_plance_lasthit_02" "我们抱歉。"
		"phantom_lancer_plance_lasthit_03" "别出声。"
		"phantom_lancer_plance_lasthit_04" "这么点钱？"
		"phantom_lancer_plance_lasthit_05" "可怜的东西。"
		"phantom_lancer_plance_lasthit_06" "头脑太简单。"
		"phantom_lancer_plance_lasthit_07" "毫不费力。"
		"phantom_lancer_plance_death_01" "呵，结束了。"
		"phantom_lancer_plance_death_02" "这个死掉了。"
		"phantom_lancer_plance_death_03" "都死掉了吗？"
		"phantom_lancer_plance_death_04" "又死光了？"
		"phantom_lancer_plance_death_05" "又死了一个吗？"
